ï»¿,name_last,name_first,key_mlbam
1764,Henriquez, Edgardo,683618
1792,Kopech, Michael,656629
1828,Phillips, Evan,623465
2036,Montero, Keider,672456
2049,Berroa, Prelander,672860
2097,Varland, Gus,681402
2364,Robertson, David,502085
2383,Fulmer, Carson,608334
2391,Contreras, Roansy,672710
2421,ZuÃ±iga, Guillo,670871
2638,Hall, DL,669084
3285,Mattson, Isaac,676755
3338,Schmidt, Clarke,657376
3509,McDonald, Trevor,686790
3522,McGreevy, Michael,700241
3776,Taylor, Troy,700187
3799,Muller, Kyle,666205
3861,Boyle, Joe,671212
4131,Weathers, Ryan,677960
4141,de Geus, Brett,676969
4165,Tate, Dillon,622253
4313,Burr, Ryan,621114
4368,Law, Derek,571882
4455,La Sorsa, Joe,686747
4640,McGough, Scott,543518
4687,Hoeing, Bryan,663773
4736,Ginkel, Kevin,656464
5286,Crawford, Kutter,676710
5440,DÃ­az, Alexis,664747
5461,Miller, Tyson,668338
5511,Lowder, Rhett,695076
5657,Dubin, Shawn,681869
5783,Walters, Andrew,689958
6101,Criswell, Jeff,676105
6302,Guenther, Sean,674944
6324,Madden, Ty,680744
6577,Miller, Ryan,668943
6592,Quijada, JosÃ©,650671
6621,Dunning, Dane,641540
6731,Strickland, Hunter,519326
6998,Ashby, Aaron,676879
7045,Myers, Tobias,668964
7229,Farmer, Kyle,571657
7265,Castillo, Diego,650895
7283,Davidson, Tucker,656353
7398,Matthews, Zebby,805673
7597,Beeter, Clayton,690925
7627,Burrows, Mike,681347
7651,Gil, Luis,661563
7991,Hjelle, Sean,663546
8033,Beck, Tristan,663941
8227,Voth, Austin,608723
8271,Stripling, Ross,548389
8292,Chargois, JT,608638
8488,Robertson, Nick,687798
8513,Cabrera, GÃ©nesis,650893
8537,Swanson, Erik,657024
9129,Darvish, Yu,506433
9614,Penrod, Zach,683068
10028,Sabrowski, Erik,681870
10145,Avila, Pedro,658648
10377,Hudson, Daniel,543339
10454,Kelly, Joe,523260
10467,Hill, Jaden,677955
10513,Molina, Anthony,683627
10715,Foley, Jason,671345
10791,Shuster, Jared,694363
11043,Chafin, Andrew,605177
11068,Robert, Daniel,642016
11099,Festa, Matt,670036
11277,Young, Alex,622065
11425,Manaea, Sean,640455
11445,Montas, Frankie,593423
11620,Tonkin, Michael,543859
11655,Funderburk, Kody,681892
11931,Effross, Scott,664123
12059,Jones, Jared,683003
12242,Warren, Austin,681810
12290,Kittredge, Andrew,552640
12832,Anderson, Shaun,641312
12843,Heineman, Tyler,623168
12872,Baumann, Mike,657508
12963,Oller, Adam,670124
13217,Rainey, Tanner,663432
13371,SuÃ¡rez, Ranger,624133
13463,Iriarte, Jairo,683568
13485,Rosenberg, Kenny,670046
13538,Flexen, Chris,623167
13917,Gibson, Kyle,502043
14426,Musgrove, Joe,605397
14641,Maldonado, Anthony,687424
14700,Petersen, Michael,656848
15112,Cole, Gerrit,543037
15350,OtaÃ±ez, Michel,671305
15413,Ginn, J.T.,669372
16341,Black, Mason,696131
16511,Anderson, Justin,605121
17135,Gomber, Austin,596295
17673,Kirby, George,669923
18202,Cronin, Declan,686539
18522,Poteet, Cody,547001
18823,Holman, Grant,680880
18964,Bradford, Cody,674003
19036,Basso, Brady,669620
19261,Assad, Javier,665871
20126,Herz, DJ,687792
20276,Hughes, Brandon,676714
20306,Diaz, Yilber,700270
20394,Walston, Blake,686796
21091,Zulueta, Yosver,691172
22147,Honeywell, Brent,641703
22259,Graterol, Brusdar,660813
22431,Irvin, Cole,608344
23038,Sborz, Josh,622250
23315,Paredes, Enoli,660600
23387,Allard, Kolby,663465
23951,Nance, Tommy,667297
24141,Bello, Brayan,678394
24926,Martinez, Seth,661527
25001,Ort, Kaleb,672391
25217,Hollowell, Gavin,668970
25597,Pop, Zach,647315
26624,Wingenter, Trey,622259
28550,Montgomery, Jordan,656756
30976,Busenitz, Alan,641427
31292,Stefanic, Michael,683021
32498,Herget, Kevin,643361
33128,Bielak, Brandon,656232
34261,Pennington, Walter,679156
37311,Alvarez, Eddy,657193
38004,Kuhl, Chad,641771
39679,Leibrandt, Brandon,605335
39860,Aguiar, Julian,687924
40614,Logue, Zach,656657
40640,BrujÃ¡n, Vidal,660644
41639,Cousins, Jake,664776
43223,Legumina, Casey,668984
45358,Brzykcy, Zach,694350
46314,Woodford, Jake,663765
46998,Kimbrel, Craig,518886
47049,Smith, Burch,572143
